Yr,Month,Day,Hr,Min,Lon,Lat,Mag,Depth
1989,8,27,21,20,-99.8,16.45,4.4,10
1989,9,3,17,53,-97.15,16.07,3.8,35
1989,9,7,5,19,-95.92,15.93,4.7,10
1989,9,7,21,49,-97.25,15.78,3.6,12
1989,9,9,7,56,-96.6,15.51,3.5,20
1989,9,10,16,28,-98.49,16.6,3.9,29
1989,9,10,19,48,-97.19,15.9,3.7,14
1989,9,13,16,39,-98.04,16.2,4.1,10
1989,9,14,6,31,-96.51,15.83,4.7,5
1989,9,23,4,21,-96.12,15.57,4.1,20
1989,9,23,7,25,-97.88,15.58,3.5,20
1989,9,24,10,8,-99.78,16.35,4.5,13
1989,9,24,18,45,-96.89,15.99,5,8
1989,9,26,8,0,-96.25,16.12,4.3,5
1989,10,5,9,22,-98.52,16.26,4,20
1989,10,6,5,1,-98.2,15.64,3.9,10
1989,10,6,6,7,-98.2,15.96,4,16
1989,10,6,6,21,-96.09,15.41,4.1,25
1989,10,14,10,39,-96.96,15.82,4.5,20
1989,10,21,22,32,-98.4,16.34,4.1,20
1989,10,22,19,32,-96.13,15.8,3.9,25
1989,10,26,19,46,-98.83,16.01,3.7,15
1989,11,3,6,33,-98.56,16.27,3.7,20
1989,11,5,15,21,-98.24,15.88,4.4,4
1989,11,9,7,15,-96.74,16,4.2,34
1989,11,9,8,36,-99.66,16.74,5.1,10
1989,11,18,15,42,-99.35,16.33,4.4,29
1989,11,19,7,25,-96.73,15.29,4.5,14
1989,11,20,4,18,-99.79,16.33,4.3,26
1989,11,22,10,43,-99.26,16.12,4.4,15
1989,11,23,0,54,-98.01,16.39,4.2,15
1989,11,23,16,18,-97.43,15.97,4.2,10
1989,12,15,10,55,-99.15,16.17,4.1,6
1989,12,19,6,49,-96.77,15.63,4.2,20
1989,12,19,16,2,-97.09,15.84,4,14
1989,12,21,8,56,-98.18,15.88,4.1,20
1989,12,25,15,40,-97.59,15.86,4.2,20
1990,1,5,19,58,-97.13,15.55,4.5,10
1990,1,13,2,7,-99.65,16.7,5.2,10
1990,1,14,5,48,-97.43,15.46,4.1,23
1990,1,14,6,0,-97.94,15.8,4.2,18
1990,1,14,7,26,-97.66,15.5,4.2,32
1990,1,21,0,34,-99.1,16.38,4.1,35
1990,1,24,5,1,-95.93,15.76,3.9,15
1990,1,31,11,42,-98.98,16.84,4,37
1990,1,31,15,57,-98.17,15.91,4.2,13
1990,2,1,11,56,-98.79,16.18,4.2,15
1990,2,6,6,28,-97.25,15.34,4.4,15
1990,2,6,8,54,-98.9,15.9,4.3,20
1990,2,6,14,3,-98.61,16.68,3.7,30
1990,2,10,5,15,-95.76,15.31,4.2,10
1990,2,17,3,21,-97.89,16.1,4.9,20
1990,2,17,4,25,-97.47,15.3,4.1,15
1990,2,17,18,27,-98.58,16.66,4.7,10
1990,2,18,2,18,-98.3,16.36,3.8,10
1990,2,19,22,39,-99.68,16.28,4.3,17
1990,2,21,19,3,-99.3,16.09,4.2,15
1990,2,21,20,50,-99.11,16.37,4.7,13
1990,2,23,10,16,-99.12,16.48,4.2,10
1990,2,23,23,33,-98.58,16.23,4.1,10
1990,2,24,6,11,-97.05,15.9,4.4,15
1990,2,27,2,14,-99.69,16.32,4,10
1990,3,5,18,13,-96.6,15.59,4.4,15
1990,3,5,23,58,-99.26,16.58,3.7,10
1990,3,8,23,51,-97.63,15.89,4.1,18
1990,3,9,0,0,-97.66,16.03,4.1,38
1990,3,9,22,25,-96.76,15.43,4.4,8
1990,3,10,5,31,-98.07,16.26,3.6,5
1990,3,14,8,4,-99.78,16.25,4,34
1990,3,16,1,58,-98.03,16.04,4.4,5
1990,3,18,4,29,-98.02,16.14,4.4,5
1990,3,19,9,11,-98.14,15.69,4.5,10
1990,3,20,20,25,-97.64,16.14,4.1,20
1990,3,23,14,3,-96.48,15.44,4.4,5
1990,3,23,14,7,-96.47,15.45,5.2,7
1990,3,23,15,17,-96.56,15.62,4,5
1990,3,26,6,42,-99.36,16.21,4,14
1990,3,28,5,21,-98.59,16.23,3.7,14
1990,3,31,5,12,-97.78,16.09,3.9,22
1990,4,3,7,59,-98.16,15.82,4.3,19
1990,4,4,16,59,-99.52,16.46,4.9,31
1990,4,4,22,27,-99.66,16.17,4.4,7
1990,4,5,2,3,-99.72,16.23,3.6,15
1990,4,8,4,1,-95.82,15.33,4.7,11
1990,4,13,21,5,-97.94,15.82,4.7,15
1990,4,14,8,1,-98.95,15.89,3.9,14
1990,4,16,22,58,-98.71,16.26,4,25
1990,4,17,6,13,-97.54,16.1,3.9,32
1990,4,19,22,10,-96.5,15.77,4.2,16
1990,4,22,2,56,-98.1,16.4,4.1,10
1990,4,24,1,11,-98.23,16.07,4.1,5
1990,4,24,1,14,-98.13,15.97,4.2,2
1990,4,27,19,56,-97.6,16.1,3.8,33
1990,5,1,19,44,-97.62,16.04,3.9,17
1990,5,6,5,43,-98.09,16.13,4,15
1990,5,7,6,36,-96.49,15.87,4.6,6
1990,5,11,8,39,-98.13,16.07,4,8
1990,5,16,13,7,-98.33,16,4.7,5
1990,5,16,13,13,-98.36,16,4.9,5
1990,5,19,5,31,-99.76,16.26,4.2,17
1990,5,20,12,1,-99.29,16.8,3.3,16
1990,5,22,11,18,-97.75,16.4,4.3,35
1990,5,28,0,39,-98.75,15.81,4.4,20
1990,6,8,11,1,-98.92,15.89,4.9,5
1990,6,8,11,11,-98.73,15.87,3.4,18
1990,6,8,11,12,-98.78,16.03,4.4,16
